ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,gs_description,results_path
GNF2_HCK,GNF2_HCK,65,-0.849071270238481,-2.6248886245044,1e-10,1.44210526315789e-09,1.1191135734072e-09,309,tags=85%, list=13%, signal=75%,ARRB2/THEMIS2/TNFSF10/PPT1/EVI2B/ADA2/CDA/RHOG/LILRB3/NAGK/CASP1/LILRA5/LILRB1/SLC7A7/CLEC7A/TNFRSF1B/PECAM1/PLBD1/TBXAS1/MYO1F/FPR1/CD302/PILRA/AP1S2/NCF2/CFP/LILRB2/IGSF6/HCK/ITGB2/RNF130/STXBP2/SH3BGRL3/CPVL/PYCARD/FGL2/TNFAIP2/CD14/GABARAP/MS4A6A/FGR/CYBB/TYMP/COTL1/S100A4/MNDA/SPI1/LST1/AIF1/CTSS/PSAP/FCER1G/FCN1/TYROBP/S100A9,Neighborhood of HCK,C4/CGN
GNF2_PECAM1,GNF2_PECAM1,42,-0.853366272269596,-2.4682977939782,1e-10,1.44210526315789e-09,1.1191135734072e-09,307,tags=88%, list=13%, signal=78%,THEMIS2/PPT1/ADA2/TCIRG1/LILRB3/DUSP1/CASP1/TNFRSF1B/CEBPB/PECAM1/PLBD1/TBXAS1/CD302/AP1S2/NCF2/CFP/LILRB2/IGSF6/HCK/ITGB2/RNF130/SH3BGRL3/PYCARD/FGL2/TNFAIP2/MS4A6A/CYBB/TYMP/S100A4/CEBPD/LST1/AIF1/CTSS/PSAP/FCER1G/FCN1/TYROBP,Neighborhood of PECAM1,C4/CGN
GNF2_S100A4,GNF2_S100A4,38,-0.85209150689294,-2.41449903926774,1e-10,1.44210526315789e-09,1.1191135734072e-09,309,tags=84%, list=13%, signal=74%,ARRB2/THEMIS2/TNFSF10/TCIRG1/GLRX/LILRB3/CASP1/TNFRSF1B/PECAM1/TBXAS1/MYO1F/PILRA/NCF2/CFP/LILRB2/IGSF6/HCK/ITGB2/STXBP2/SH3BGRL3/CPVL/PYCARD/FGL2/FGR/TYMP/COTL1/S100A4/LST1/AIF1/FCER1G/FCN1/TYROBP,Neighborhood of S100A4,C4/CGN
GNF2_ST13,GNF2_ST13,60,0.781866430770106,2.99309974176913,1e-10,1.44210526315789e-09,1.1191135734072e-09,410,tags=77%, list=18%, signal=65%,RPS12/RPL3/RPS4X/RPS3/RPL32/EEF1B2/RPL5/RPSA/RPS6/NPM1/RPL14/EEF1G/RPL9/RPL35A/RPS3A/RPL10A/RPL19/RPL4/RPS23/RPL37/RPL24/RPL22/RPL17/RPL6/EIF4B/RPS13/RPS7/RPL36A/EIF3E/RPL38/RPL7A/HNRNPA1/RPL31/RACK1/ST13/SNRPD2/RPL12/NACA/NSA2/RPL8/EIF3H/UXT/RPS20/RPL7/EIF3L/BTF3,Neighborhood of ST13,C4/CGN
GNF2_TNFRSF1B,GNF2_TNFRSF1B,52,-0.8557839123461,-2.54194569662321,1e-10,1.44210526315789e-09,1.1191135734072e-09,315,tags=88%, list=14%, signal=78%,MYD88/ARRB2/THEMIS2/PPT1/ADA2/TCIRG1/RHOG/LILRB3/DUSP1/AOAH/NAGK/CASP1/LILRB1/SLC7A7/CNPY3/TNFRSF1B/PECAM1/TBXAS1/PILRA/ARPC1B/AP1S2/NCF2/CFP/LILRB2/IGSF6/HCK/ITGB2/RNF130/STXBP2/SH3BGRL3/CPVL/PYCARD/FGL2/MS4A6A/FGR/CYBB/TYMP/COTL1/S100A4/LST1/AIF1/CTSS/PSAP/FCER1G/FCN1/TYROBP,Neighborhood of TNFRSF1B,C4/CGN
GNF2_TPT1,GNF2_TPT1,37,0.840068504284536,2.91105317668541,1e-10,1.44210526315789e-09,1.1191135734072e-09,270,tags=78%, list=12%, signal=70%,RPS12/RPS27/RPS4X/EEF1A1/RPL32/RPL30/RPS18/RPS6/TPT1/RPS14/EEF1G/RPL10/RPL9/RPS3A/RPL21/RPL19/RPS23/RPL37/RPL39/RPL23A/RPS2/RPS10/RPS13/RPL38/RPL31/RPL13A/RPL12/RPL41/RPLP1,Neighborhood of TPT1,C4/CGN
MORF_ACTG1,MORF_ACTG1,127,0.59808000666473,2.52052694192641,1e-10,1.44210526315789e-09,1.1191135734072e-09,303,tags=53%, list=13%, signal=48%,RPS12/RPL3/RPS25/RPS27/RPS4X/EEF1A1/RPS3/RPS27A/RPL32/RPS15A/RPL30/RPS18/EEF1B2/RPL5/RPS6/NPM1/RPL14/TPT1/RPL13/RPS5/RPL34/RPS14/EEF1G/RPL10/RPS29/RPL9/RPS3A/RPL10A/RPL21/RPL11/RPL19/RPL4/RPS28/RPS23/RPL37/RPL24/RPS8/RPL18/RPL22/RPL17/HINT1/RPL18A/RPS16/RPLP0/RPL29/RPL23A/RPL6/RPL28/RPS10/RPS13/RPS7/EEF2/RPLP2/RPL36A/RPL38/PABPC1/RPS19/HNRNPA1/RPL31/RACK1/RPL13A/RPL12/RPLP1/SSR2/NACA/RPS9/EIF4A2,Neighborhood of ACTG1,C4/CGN
MORF_NPM1,MORF_NPM1,147,0.600542862160675,2.61682140909649,1e-10,1.44210526315789e-09,1.1191135734072e-09,303,tags=46%, list=13%, signal=43%,RPS12/RPL3/RPS25/RPS27/RPS4X/EEF1A1/RPS3/RPS27A/RPL32/RPS15A/RPL30/RPS18/EEF1B2/RPL5/RPS6/NPM1/RPL14/TPT1/RPL13/RPS5/RPL34/RPS14/EEF1G/RPS29/RPL9/RPS3A/RPL10A/RPL21/RPL11/RPL19/RPL4/RPS28/RPS23/RPL37/RPL24/RPS8/RPL18/RPL22/RPL17/HINT1/RPL18A/RPS16/EEF1D/RPLP0/RPL29/RPL23A/RPL6/RPL28/RPS2/RPS10/RPS13/RPS7/EEF2/RPLP2/RPL36A/EIF3E/RPL38/PABPC1/RPS19/HNRNPA1/RPL31/RACK1/RPL13A/RPL12/RPLP1/NACA/RPS9/EIF4A2,Neighborhood of NPM1,C4/CGN
MORF_TPT1,MORF_TPT1,92,0.709759807823171,2.85633578644376,1e-10,1.44210526315789e-09,1.1191135734072e-09,303,tags=67%, list=13%, signal=61%,RPS12/RPL3/RPS25/RPS27/RPS4X/EEF1A1/RPS3/RPS27A/RPL32/RPS15A/RPL30/RPS18/EEF1B2/RPL5/RPS6/NPM1/TPT1/RPL13/RPS5/RPL34/RPS14/EEF1G/RPL10/RPS29/RPL9/RPS3A/RPL10A/RPL21/RPL11/RPL19/RPL4/RPS23/RPL37/RPL24/RPS8/RPL18/RPL22/RPL17/RPL18A/RPS16/RPLP0/RPL29/RPL23A/RPL6/RPL28/RPS10/RPS13/RPS7/EEF2/RPLP2/RPL36A/RPL38/PABPC1/RPS19/RPL31/RACK1/RPL13A/RPL12/RPLP1/NACA/RPS9/EIF4A2,Neighborhood of TPT1,C4/CGN
MORF_EIF4A2,MORF_EIF4A2,105,0.567321226232125,2.37142594491134,2.61317686506714e-10,3.58005230514199e-09,2.7782196144398e-09,334,tags=38%, list=15%, signal=34%,SARAF/RPS12/RPS25/RPS27A/RPL30/EEF1B2/RPL5/RPS6/NPM1/RPL14/TPT1/RPL13/RPL34/EEF1G/RPL9/RPS3A/RPL10A/RPL21/RPL11/TMEM123/RPL19/RPL4/RPL24/RPL18/RPL22/RPL17/RPL6/RPS7/NAP1L4/EEF2/RPLP2/EIF3E/HNRNPA1/RPL31/RACK1/NACA/EIF4A2/CRLF3/COX7C/NSA2,Neighborhood of EIF4A2,C4/CGN
